Time,Fuel,Fan,Feed,Temp,O2
09/30/2012 09:28:50,16.99253112033195,90.0,100,898.2132818397411,5.29946485768224
09/30/2012 09:29:00,16.99253112033195,90.0,100,898.2106254706821,5.299598643261679
09/30/2012 09:29:10,16.99253112033195,90.0,100,898.2085003754353,5.29969898244626
09/30/2012 09:29:20,16.99253112033195,90.0,100,898.2068002992382,5.2997742368347005
09/30/2012 09:29:30,16.99253112033195,90.0,100,898.2054402382803,5.299830677626019
09/30/2012 09:29:40,16.99253112033195,90.0,100,898.2043521895132,5.299873008219519
09/30/2012 09:29:50,16.99253112033195,90.0,100,898.2034817505003,5.29990475616464
09/30/2012 09:30:00,16.99253112033195,90.0,100,898.2027853992902,5.29992856712348
09/30/2012 09:30:10,16.99253112033195,90.0,100,898.2022283183221,5.29994642534261
09/30/2012 09:30:20,16.99253112033195,90.0,100,898.2017826535473,5.2999598190069594
09/30/2012 09:30:30,16.99253112033195,90.0,100,898.2014261217273,5.299969864255219
09/30/2012 09:30:40,16.99253112033195,90.0,100,898.2011408962712,5.299977398191411
09/30/2012 09:30:50,16.99253112033195,90.0,100,898.2009127159074,5.2999830486435595
09/30/2012 09:31:00,16.99253112033195,90.0,100,898.2007301716153,5.299987286482669
09/30/2012 09:31:10,16.99253112033195,90.0,100,898.2005841361822,5.299990464862
09/30/2012 09:31:20,16.99253112033195,90.0,100,898.2004673078352,5.2999928486465
09/30/2012 09:31:30,16.99253112033195,90.0,100,898.2003738451574,5.29999463648488
09/30/2012 09:31:40,16.99253112033195,90.0,100,898.2002990750161,5.29999597736366
09/30/2012 09:31:50,16.99253112033195,90.0,100,898.2002392589022,5.299996983022741
09/30/2012 09:32:00,16.99253112033195,90.0,100,898.2001914060113,5.299997737267059
09/30/2012 09:32:10,16.99253112033195,90.0,100,898.200153123699,5.29999830295029
09/30/2012 09:32:20,16.99253112033195,90.0,100,898.2001224978492,5.29999872721272
09/30/2012 09:32:30,16.99253112033195,90.0,100,898.2000979971681,5.29999904540954
09/30/2012 09:32:40,16.99253112033195,90.0,100,898.2000783966243,5.29999928405716
09/30/2012 09:32:50,16.99253112033195,90.0,100,898.2000627161892,5.29999946304287
09/30/2012 09:33:00,16.99253112033195,90.0,100,898.2000501718412,5.2999995972821505
09/30/2012 09:33:10,16.99253112033195,90.0,100,898.2000401363623,5.299999697961611
09/30/2012 09:33:20,19.99253112033195,94.5,100,898.2000321079793,5.29999977347121
09/30/2012 09:33:30,19.99253112033195,94.5,100,898.2000256852732,5.29999983010341
09/30/2012 09:33:40,19.99253112033195,94.5,100,898.4475205471083,5.89999987257756
09/30/2012 09:33:50,19.99253112033195,94.5,100,898.6455164365764,6.34999990443317
09/30/2012 09:34:00,19.99253112033195,94.5,100,898.8039131481503,6.68749992832487
09/30/2012 09:34:10,19.99253112033195,94.5,100,898.9306305174102,6.940624946243661
09/30/2012 09:34:20,19.99253112033195,94.5,100,899.0320044128182,7.13046870968274
09/30/2012 09:34:30,19.99253112033195,94.5,100,899.1131035291444,7.2728515322620595
09/30/2012 09:34:40,19.99253112033195,94.5,100,899.1779828222052,7.37963864919654
09/30/2012 09:34:50,19.99253112033195,94.5,100,899.2298862566533,7.45972898689741
09/30/2012 09:35:00,19.99253112033195,94.5,100,899.271409004212,7.51979674017306
09/30/2012 09:35:10,19.99253112033195,94.5,100,899.3046272022591,7.5648475551297905
09/30/2012 09:35:20,19.99253112033195,94.5,100,899.331201760697,7.598635666347341
09/30/2012 09:35:30,19.99253112033195,94.5,100,899.3524614074472,7.6239767497605095
09/30/2012 09:35:40,19.99253112033195,94.5,100,899.3694691248472,7.64298256232038
09/30/2012 09:35:50,19.99253112033195,94.5,100,899.3830752987681,7.65723692174029
09/30/2012 09:36:00,19.99253112033195,94.5,100,899.3939602379041,7.667927691305209
09/30/2012 09:36:10,19.99253112033195,94.5,100,899.4026681892121,7.675945768478909
09/30/2012 09:36:20,19.99253112033195,94.5,100,899.4096345502603,7.6819593263591806
09/30/2012 09:36:30,19.99253112033195,94.5,100,899.4152076390972,7.68646949476939
09/30/2012 09:36:40,19.99253112033195,94.5,100,899.4196661101671,7.68985212107704
09/30/2012 09:36:50,19.99253112033195,94.5,100,899.4232328870241,7.69238909080778
09/30/2012 09:37:00,19.99253112033195,94.5,100,899.426086308508,7.69429181810584
09/30/2012 09:37:10,19.99253112033195,94.5,100,899.4283690456962,7.695718863579379
09/30/2012 09:37:20,19.99253112033195,94.5,100,899.4301952354472,7.69678914768453
09/30/2012 09:37:30,19.99253112033195,94.5,100,899.4316561872472,7.697591860763401
09/30/2012 09:37:40,19.99253112033195,94.5,100,899.4328249486873,7.69819389557255
09/30/2012 09:37:50,19.99253112033195,94.5,100,899.4337599578391,7.69864542167941
09/30/2012 09:38:00,19.99253112033195,94.5,100,899.4345079651614,7.698984066259559
09/30/2012 09:38:10,19.99253112033195,94.5,100,899.4351063710194,7.699238049694671
09/30/2012 09:38:20,19.99253112033195,94.5,100,899.4355850957043,7.699428537271
09/30/2012 09:38:30,19.99253112033195,94.5,100,899.435968075453,7.69957140295325
09/30/2012 09:38:40,19.99253112033195,94.5,100,899.436274459252,7.699678552214941
09/30/2012 09:38:50,19.99253112033195,94.5,100,899.436519566291,7.6997589141612
09/30/2012 09:39:00,19.99253112033195,94.5,100,899.4367156519231,7.699819185620901
09/30/2012 09:39:10,19.99253112033195,94.5,100,899.4368725204283,7.699864389215679
09/30/2012 09:39:20,19.99253112033195,94.5,100,899.4369980152321,7.69989829191176
09/30/2012 09:39:30,19.99253112033195,94.5,100,899.4370984110753,7.699923718933821
09/30/2012 09:39:40,19.99253112033195,94.5,100,899.4371787277503,7.699942789200361
09/30/2012 09:39:50,19.99253112033195,94.5,100,899.4372429810892,7.69995709190027
09/30/2012 09:40:00,19.99253112033195,94.5,100,899.4372943837614,7.6999678189252005
09/30/2012 09:40:10,19.99253112033195,94.5,100,899.4373355058981,7.699975864193901
09/30/2012 09:40:20,19.99253112033195,94.5,100,899.4373684036084,7.69998189814543
09/30/2012 09:40:30,19.99253112033195,94.5,100,899.4373947217762,7.6999864236090705
09/30/2012 09:40:40,19.99253112033195,94.5,100,899.4374157763111,7.6999898177068
09/30/2012 09:40:50,19.99253112033195,94.5,100,899.4374326199384,7.699992363280099
09/30/2012 09:41:00,19.99253112033195,94.5,100,899.4374460948402,7.6999942724600805
09/30/2012 09:41:10,19.99253112033195,94.5,100,899.4374568747623,7.699995704345059
09/30/2012 09:41:20,19.99253112033195,94.5,100,899.4374654986991,7.6999967782587895
09/30/2012 09:41:30,19.99253112033195,94.5,100,899.4374723978492,7.699997583694089
09/30/2012 09:41:40,19.99253112033195,90.0,100,899.4374779171692,7.6999981877705705
09/30/2012 09:41:50,19.99253112033195,90.0,100,899.4374823326241,7.69999864082793
09/30/2012 09:42:00,19.99253112033195,90.0,100,899.5499858649891,7.024998980620951
09/30/2012 09:42:10,19.99253112033195,90.0,100,899.6399886908812,6.51874923546571
09/30/2012 09:42:20,19.99253112033195,90.0,100,899.7119909515943,6.139061926599281
09/30/2012 09:42:30,19.99253112033195,90.0,100,899.7695927601651,5.85429644494946
09/30/2012 09:42:40,19.99253112033195,90.0,100,899.8156742070221,5.6407223337121
09/30/2012 09:42:50,19.99253112033195,90.0,100,899.8525393645073,5.48054175028407
09/30/2012 09:43:00,19.99253112033195,90.0,100,899.8820314904954,5.3604063127130495
09/30/2012 09:43:10,19.99253112033195,90.0,100,899.9056251912864,5.27030473453479
09/30/2012 09:43:20,19.99253112033195,90.0,100,899.9245001519182,5.20272855090109
09/30/2012 09:43:30,19.99253112033195,90.0,100,899.9396001204243,5.15204641317582
09/30/2012 09:43:40,19.99253112033195,90.0,100,899.951680095229,5.11403480988186
09/30/2012 09:43:50,19.99253112033195,90.0,100,899.9613440750734,5.0855261074114
09/30/2012 09:44:00,19.99253112033195,90.0,100,899.9690752589484,5.064144580558549
09/30/2012 09:44:10,19.99253112033195,90.0,100,899.9752602060482,5.048108435418911
09/30/2012 09:44:20,19.99253112033195,90.0,100,899.9802081637283,5.0360813265641795
09/30/2012 09:44:30,19.99253112033195,90.0,100,899.9841665298723,5.02706099492314
09/30/2012 09:44:40,19.99253112033195,90.0,100,899.9873332227871,5.02029574619235
