AI-2020~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.198669e+01 	 1.192592e-01 	 9.267573e-02 	  6.609229e-02 	 9.961080e-01
1.078833e+01 	 1.010850e-01 	 7.372165e-02 	  4.635835e-02 	 7.698004e-01
9.709767e+00 	 9.032424e-02 	 6.146445e-02 	  3.260465e-02 	 6.085306e-01
8.739037e+00 	 9.052659e-02 	 6.041862e-02 	  3.031064e-02 	 5.733779e-01
7.865355e+00 	 7.930813e-02 	 4.948500e-02 	  1.966187e-02 	 4.741022e-01
7.079019e+00 	 6.690325e-02 	 3.856786e-02 	  1.023247e-02 	 3.889090e-01
6.371296e+00 	 6.362379e-02 	 3.618138e-02 	  8.738967e-03 	 3.767164e-01
5.734328e+00 	 6.367258e-02 	 3.578750e-02 	  7.902422e-03 	 3.667002e-01
5.161041e+00 	 6.045494e-02 	 3.201271e-02 	  3.570487e-03 	 3.215959e-01
4.645068e+00 	 5.649769e-02 	 2.760799e-02 	  0.000000e+00 	 2.730508e-01
4.180679e+00 	 5.547396e-02 	 2.430847e-02 	  0.000000e+00 	 2.228617e-01
3.762717e+00 	 5.350851e-02 	 2.263769e-02 	  0.000000e+00 	 2.095250e-01
3.386540e+00 	 4.657326e-02 	 1.775155e-02 	  0.000000e+00 	 1.759821e-01
3.047972e+00 	 4.388891e-02 	 1.335563e-02 	  0.000000e+00 	 1.249806e-01
2.743252e+00 	 4.101202e-02 	 1.269756e-02 	  0.000000e+00 	 1.281338e-01
2.468997e+00 	 4.331848e-02 	 1.387046e-02 	  0.000000e+00 	 1.345818e-01
2.222160e+00 	 4.332723e-02 	 1.334862e-02 	  0.000000e+00 	 1.272262e-01
2.000000e+00 	 4.332723e-02 	 1.334862e-02 	  0.000000e+00 	 0.000000e+00
 
AI-2020~FIC-2002  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 2.460798e-01 	 1.607171e-01 	  7.535450e-02 	 3.124008e-01
9.000254e+02 	 2.461734e-01 	 1.608107e-01 	  7.544806e-02 	 3.336128e-01
8.100456e+02 	 2.462869e-01 	 1.609242e-01 	  7.556160e-02 	 3.554074e-01
7.290616e+02 	 2.464241e-01 	 1.610615e-01 	  7.569882e-02 	 3.774603e-01
6.561739e+02 	 2.465891e-01 	 1.612264e-01 	  7.586380e-02 	 3.994247e-01
5.905732e+02 	 2.467861e-01 	 1.614235e-01 	  7.606081e-02 	 4.209540e-01
5.315308e+02 	 2.470194e-01 	 1.616567e-01 	  7.629410e-02 	 4.417248e-01
4.783912e+02 	 2.472926e-01 	 1.619300e-01 	  7.656734e-02 	 4.614580e-01
4.305642e+02 	 2.476081e-01 	 1.622455e-01 	  7.688282e-02 	 4.799339e-01
3.875187e+02 	 2.479655e-01 	 1.626029e-01 	  7.724025e-02 	 4.969971e-01
3.487767e+02 	 2.483602e-01 	 1.629975e-01 	  7.763489e-02 	 5.125520e-01
3.139079e+02 	 2.487803e-01 	 1.634176e-01 	  7.805497e-02 	 5.265466e-01
2.825250e+02 	 2.492036e-01 	 1.638410e-01 	  7.847832e-02 	 5.389488e-01
2.542797e+02 	 2.495934e-01 	 1.642307e-01 	  7.886809e-02 	 5.497158e-01
2.288582e+02 	 2.486647e-01 	 1.645307e-01 	  8.039670e-02 	 5.587623e-01
2.059782e+02 	 2.477951e-01 	 1.646611e-01 	  8.152712e-02 	 5.659318e-01
1.853856e+02 	 2.468444e-01 	 1.645174e-01 	  8.219044e-02 	 5.709806e-01
1.668517e+02 	 2.456585e-01 	 1.639759e-01 	  8.229335e-02 	 5.735909e-01
1.501708e+02 	 2.440891e-01 	 1.629140e-01 	  8.173885e-02 	 5.734388e-01
1.351575e+02 	 2.420383e-01 	 1.612557e-01 	  8.047305e-02 	 5.703595e-01
1.216452e+02 	 2.395453e-01 	 1.590590e-01 	  7.857274e-02 	 5.646613e-01
1.094837e+02 	 2.369232e-01 	 1.566542e-01 	  7.638509e-02 	 5.576290e-01
9.853815e+01 	 2.349283e-01 	 1.548139e-01 	  7.469953e-02 	 5.521424e-01
8.868683e+01 	 2.348491e-01 	 1.548447e-01 	  7.484023e-02 	 5.530111e-01
7.982040e+01 	 2.382497e-01 	 1.583321e-01 	  7.841461e-02 	 5.660811e-01
7.184038e+01 	 2.460997e-01 	 1.662745e-01 	  8.644925e-02 	 5.951646e-01
6.465817e+01 	 2.575346e-01 	 1.778465e-01 	  9.815849e-02 	 6.376816e-01
5.819399e+01 	 2.691752e-01 	 1.897246e-01 	  1.102740e-01 	 6.823044e-01
5.237607e+01 	 2.757703e-01 	 1.967336e-01 	  1.176969e-01 	 7.112155e-01
4.713979e+01 	 2.722993e-01 	 1.939531e-01 	  1.156068e-01 	 7.073433e-01
4.242700e+01 	 2.574132e-01 	 1.801566e-01 	  1.029000e-01 	 6.662942e-01
3.818538e+01 	 2.366829e-01 	 1.610476e-01 	  8.541240e-02 	 6.083896e-01
3.436781e+01 	 2.190986e-01 	 1.457338e-01 	  7.236910e-02 	 5.675768e-01
3.093190e+01 	 2.028605e-01 	 1.324788e-01 	  6.209713e-02 	 5.378219e-01
2.783950e+01 	 1.775975e-01 	 1.108819e-01 	  4.416635e-02 	 4.748814e-01
2.505625e+01 	 1.545702e-01 	 9.206140e-02 	  2.955258e-02 	 4.208118e-01
2.255126e+01 	 1.508391e-01 	 9.283682e-02 	  3.483453e-02 	 4.573269e-01
2.029671e+01 	 1.432713e-01 	 8.977866e-02 	  3.628606e-02 	 4.795469e-01
1.826755e+01 	 1.301215e-01 	 8.083710e-02 	  3.155268e-02 	 4.686544e-01
1.644126e+01 	 1.118456e-01 	 6.618280e-02 	  2.051996e-02 	 4.141273e-01
1.479755e+01 	 1.069752e-01 	 6.408185e-02 	  2.118852e-02 	 4.268712e-01
1.331817e+01 	 9.294789e-02 	 5.171039e-02 	  1.047289e-02 	 3.582921e-01
