FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
2.505625e+01 	 1.554835e-01 	 1.113317e-01 	  6.717983e-02 	 8.299077e-01
2.255126e+01 	 1.345528e-01 	 9.029399e-02 	  4.603520e-02 	 6.714586e-01
2.029671e+01 	 1.059136e-01 	 6.175713e-02 	  1.760061e-02 	 4.603119e-01
1.826755e+01 	 7.577746e-02 	 3.193750e-02 	  0.000000e+00 	 2.397677e-01
1.644126e+01 	 6.487804e-02 	 2.150863e-02 	  0.000000e+00 	 1.632259e-01
1.479755e+01 	 6.903184e-02 	 2.614242e-02 	  0.000000e+00 	 2.006113e-01
1.331817e+01 	 6.586748e-02 	 2.324724e-02 	  0.000000e+00 	 1.795211e-01
1.198669e+01 	 6.054569e-02 	 1.774994e-02 	  0.000000e+00 	 1.365074e-01
1.078833e+01 	 5.475092e-02 	 1.123038e-02 	  0.000000e+00 	 8.492982e-02
9.709767e+00 	 4.822469e-02 	 3.655368e-03 	  0.000000e+00 	 2.699324e-02
8.739037e+00 	 4.902737e-02 	 3.690161e-03 	  0.000000e+00 	 2.678863e-02
7.865355e+00 	 4.616803e-02 	 8.639570e-04 	  0.000000e+00 	 6.276460e-03
7.079019e+00 	 4.618632e-02 	 1.429633e-03 	  0.000000e+00 	 1.051300e-02
6.371296e+00 	 4.749598e-02 	 2.996733e-03 	  0.000000e+00 	 2.216437e-02
5.734328e+00 	 4.647836e-02 	 2.186364e-03 	  0.000000e+00 	 1.624640e-02
5.161041e+00 	 4.626449e-02 	 3.307964e-03 	  0.000000e+00 	 2.534495e-02
4.645068e+00 	 4.513741e-02 	 3.422036e-03 	  0.000000e+00 	 2.699904e-02
4.180679e+00 	 4.349180e-02 	 5.970685e-04 	  0.000000e+00 	 4.581210e-03
3.762717e+00 	 4.912136e-02 	 3.864979e-03 	  0.000000e+00 	 2.810783e-02
3.386540e+00 	 5.515688e-02 	 5.878160e-03 	  0.000000e+00 	 3.925924e-02
3.047972e+00 	 5.370131e-02 	 5.458961e-03 	  0.000000e+00 	 3.724272e-02
2.743252e+00 	 4.984382e-02 	 3.818735e-03 	  0.000000e+00 	 2.730768e-02
2.468997e+00 	 5.028853e-02 	 3.353242e-03 	  0.000000e+00 	 2.351394e-02
2.222160e+00 	 4.918933e-02 	 3.663128e-03 	  0.000000e+00 	 2.648199e-02
2.000000e+00 	 4.918933e-02 	 3.663128e-03 	  0.000000e+00 	 0.000000e+00
 
FIC-2101~FIC-2004  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 5.352045e-01 	 4.781025e-01 	  4.210006e-01 	 2.566273e+00
9.000254e+02 	 5.384140e-01 	 4.813121e-01 	  4.242101e-01 	 2.614215e+00
8.100456e+02 	 5.423324e-01 	 4.852305e-01 	  4.281285e-01 	 2.664008e+00
7.290616e+02 	 5.471046e-01 	 4.900026e-01 	  4.329007e-01 	 2.716244e+00
6.561739e+02 	 5.528995e-01 	 4.957976e-01 	  4.386956e-01 	 2.771802e+00
5.905732e+02 	 5.599116e-01 	 5.028097e-01 	  4.457077e-01 	 2.831831e+00
5.315308e+02 	 5.683609e-01 	 5.112590e-01 	  4.541570e-01 	 2.897731e+00
4.783912e+02 	 5.784912e-01 	 5.213893e-01 	  4.642874e-01 	 2.971104e+00
4.305642e+02 	 5.905654e-01 	 5.334635e-01 	  4.763615e-01 	 3.053701e+00
3.875187e+02 	 6.048565e-01 	 5.477545e-01 	  4.906526e-01 	 3.147350e+00
3.487767e+02 	 6.216335e-01 	 5.645315e-01 	  5.074296e-01 	 3.253848e+00
3.139079e+02 	 6.409951e-01 	 5.840378e-01 	  5.270805e-01 	 3.374825e+00
2.825250e+02 	 6.633015e-01 	 6.064603e-01 	  5.496192e-01 	 3.511555e+00
