FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
6.465817e+01 	 2.865128e-01 	 2.017298e-01 	  1.169468e-01 	 4.601485e-01
5.819399e+01 	 2.893819e-01 	 2.012671e-01 	  1.131524e-01 	 4.417342e-01
5.237607e+01 	 2.816146e-01 	 1.909044e-01 	  1.001942e-01 	 4.070019e-01
4.713979e+01 	 2.635926e-01 	 1.717540e-01 	  7.991534e-02 	 3.616746e-01
4.242700e+01 	 2.384117e-01 	 1.475888e-01 	  5.676595e-02 	 3.142642e-01
3.818538e+01 	 2.098342e-01 	 1.224236e-01 	  3.501292e-02 	 2.708553e-01
3.436781e+01 	 1.801447e-01 	 9.809250e-02 	  1.604031e-02 	 2.311970e-01
3.093190e+01 	 1.518454e-01 	 7.602615e-02 	  2.069028e-04 	 1.939189e-01
2.783950e+01 	 1.278325e-01 	 5.779204e-02 	  0.000000e+00 	 1.595715e-01
2.505625e+01 	 1.082839e-01 	 4.234146e-02 	  0.000000e+00 	 1.241759e-01
2.255126e+01 	 9.455809e-02 	 3.021943e-02 	  0.000000e+00 	 9.083452e-02
2.029671e+01 	 8.552657e-02 	 2.045055e-02 	  0.000000e+00 	 6.077438e-02
1.826755e+01 	 7.929577e-02 	 1.318838e-02 	  0.000000e+00 	 3.858142e-02
1.644126e+01 	 7.136089e-02 	 7.507217e-03 	  0.000000e+00 	 2.273682e-02
1.479755e+01 	 6.106517e-02 	 3.333595e-03 	  0.000000e+00 	 1.116699e-02
1.331817e+01 	 5.348075e-02 	 1.018039e-03 	  0.000000e+00 	 3.752756e-03
1.198669e+01 	 5.528654e-02 	 2.352293e-03 	  0.000000e+00 	 8.593920e-03
1.078833e+01 	 6.345791e-02 	 3.856930e-03 	  0.000000e+00 	 1.251483e-02
9.709767e+00 	 6.551276e-02 	 4.924821e-03 	  0.000000e+00 	 1.571958e-02
8.739037e+00 	 5.733600e-02 	 5.669269e-03 	  0.000000e+00 	 2.122036e-02
7.865355e+00 	 5.759396e-02 	 6.256510e-03 	  0.000000e+00 	 2.356864e-02
7.079019e+00 	 6.031037e-02 	 6.590503e-03 	  0.000000e+00 	 2.372577e-02
6.371296e+00 	 5.457654e-02 	 6.815742e-03 	  0.000000e+00 	 2.759804e-02
5.734328e+00 	 5.635750e-02 	 6.978660e-03 	  0.000000e+00 	 2.733177e-02
5.161041e+00 	 4.946077e-02 	 7.109441e-03 	  0.000000e+00 	 3.246423e-02
4.645068e+00 	 5.007728e-02 	 7.135488e-03 	  0.000000e+00 	 3.213514e-02
4.180679e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 3.278100e-02
3.762717e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 0.000000e+00
3.386540e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 0.000000e+00
3.047972e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 0.000000e+00
2.743252e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 0.000000e+00
2.468997e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 0.000000e+00
2.222160e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 0.000000e+00
2.000000e+00 	 4.954840e-02 	 7.181458e-03 	  0.000000e+00 	 0.000000e+00
 
FIC-2101~TIC-2003  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 8.192388e-01 	 7.902918e-01 	  7.613448e-01 	 2.841452e+00
9.000254e+02 	 8.181903e-01 	 7.892433e-01 	  7.602963e-01 	 2.974790e+00
8.100456e+02 	 8.168958e-01 	 7.879488e-01 	  7.590018e-01 	 3.121475e+00
7.290616e+02 	 8.152973e-01 	 7.863503e-01 	  7.574033e-01 	 3.280235e+00
6.561739e+02 	 8.133236e-01 	 7.843766e-01 	  7.554296e-01 	 3.448959e+00
5.905732e+02 	 8.108865e-01 	 7.819395e-01 	  7.529925e-01 	 3.624621e+00
5.315308e+02 	 8.078771e-01 	 7.789301e-01 	  7.499831e-01 	 3.803249e+00
4.783912e+02 	 8.041613e-01 	 7.752142e-01 	  7.462672e-01 	 3.979963e+00
4.305642e+02 	 7.995733e-01 	 7.706263e-01 	  7.416793e-01 	 4.149087e+00
3.875187e+02 	 7.939094e-01 	 7.649624e-01 	  7.360154e-01 	 4.304320e+00
3.487767e+02 	 7.869191e-01 	 7.579721e-01 	  7.290251e-01 	 4.438955e+00
3.139079e+02 	 7.782956e-01 	 7.493486e-01 	  7.204016e-01 	 4.546116e+00
2.825250e+02 	 7.676652e-01 	 7.387182e-01 	  7.097712e-01 	 4.618972e+00
2.542797e+02 	 7.545764e-01 	 7.256294e-01 	  6.966824e-01 	 4.650908e+00
2.288582e+02 	 7.384903e-01 	 7.095433e-01 	  6.805963e-01 	 4.635666e+00
2.059782e+02 	 7.187762e-01 	 6.898292e-01 	  6.608822e-01 	 4.567474e+00
1.853856e+02 	 6.947186e-01 	 6.657716e-01 	  6.368246e-01 	 4.441259e+00
1.668517e+02 	 6.655459e-01 	 6.365989e-01 	  6.076519e-01 	 4.253035e+00
1.501708e+02 	 6.306337e-01 	 6.015544e-01 	  5.724750e-01 	 4.000614e+00
1.351575e+02 	 5.894277e-01 	 5.600351e-01 	  5.306424e-01 	 3.684793e+00
1.216452e+02 	 5.417389e-01 	 5.118441e-01 	  4.819492e-01 	 3.311146e+00
1.094837e+02 	 4.882030e-01 	 4.576073e-01 	  4.270117e-01 	 2.892480e+00
9.853815e+01 	 4.309086e-01 	 3.994044e-01 	  3.679002e-01 	 2.451776e+00
8.868683e+01 	 3.741800e-01 	 3.415552e-01 	  3.089305e-01 	 2.024654e+00
7.982040e+01 	 3.249887e-01 	 2.910404e-01 	  2.570922e-01 	 1.657955e+00
7.184038e+01 	 2.911917e-01 	 2.557523e-01 	  2.203130e-01 	 1.395631e+00
6.465817e+01 	 2.755678e-01 	 2.385522e-01 	  2.015365e-01 	 1.246335e+00
5.819399e+01 	 2.709576e-01 	 2.324358e-01 	  1.939140e-01 	 1.166899e+00
5.237607e+01 	 2.662954e-01 	 2.265849e-01 	  1.868744e-01 	 1.103475e+00
4.713979e+01 	 2.567046e-01 	 2.164437e-01 	  1.761829e-01 	 1.039678e+00
4.242700e+01 	 2.437928e-01 	 2.039193e-01 	  1.640459e-01 	 9.890337e-01
3.818538e+01 	 2.266254e-01 	 1.881926e-01 	  1.497599e-01 	 9.469743e-01
3.436781e+01 	 2.024638e-01 	 1.663342e-01 	  1.302046e-01 	 8.903391e-01
3.093190e+01 	 1.785521e-01 	 1.451248e-01 	  1.116975e-01 	 8.396090e-01
2.783950e+01 	 1.576179e-01 	 1.267155e-01 	  9.581320e-02 	 7.930037e-01
2.505625e+01 	 1.351517e-01 	 1.060642e-01 	  7.697659e-02 	 7.051766e-01
2.255126e+01 	 1.192180e-01 	 9.087895e-02 	  6.253987e-02 	 6.201750e-01
2.029671e+01 	 1.028535e-01 	 7.425554e-02 	  4.565758e-02 	 5.021465e-01
1.826755e+01 	 9.119693e-02 	 6.221271e-02 	  3.322849e-02 	 4.151013e-01
1.644126e+01 	 7.894614e-02 	 5.099963e-02 	  2.305312e-02 	 3.529198e-01
1.479755e+01 	 6.595179e-02 	 4.071808e-02 	  1.548437e-02 	 3.120634e-01
1.331817e+01 	 5.566846e-02 	 3.275144e-02 	  9.834414e-03 	 2.763814e-01
1.198669e+01 	 4.963460e-02 	 2.646205e-02 	  3.289505e-03 	 2.208444e-01
1.078833e+01 	 4.765002e-02 	 2.140953e-02 	  0.000000e+00 	 1.577872e-01
9.709767e+00 	 4.450610e-02 	 1.775297e-02 	  0.000000e+00 	 1.283314e-01
8.739037e+00 	 3.822269e-02 	 1.560625e-02 	  0.000000e+00 	 1.334477e-01
7.865355e+00 	 3.563221e-02 	 1.329633e-02 	  0.000000e+00 	 1.151239e-01
7.079019e+00 	 3.637869e-02 	 1.281406e-02 	  0.000000e+00 	 1.051629e-01
6.371296e+00 	 3.303752e-02 	 1.210281e-02 	  0.000000e+00 	 1.118036e-01
5.734328e+00 	 3.374529e-02 	 1.197866e-02 	  0.000000e+00 	 1.064274e-01
5.161041e+00 	 3.082756e-02 	 1.223296e-02 	  0.000000e+00 	 1.272275e-01
4.645068e+00 	 3.069053e-02 	 1.184918e-02 	  0.000000e+00 	 1.216223e-01
4.180679e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 1.263506e-01
3.762717e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 0.000000e+00
3.386540e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 0.000000e+00
3.047972e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 0.000000e+00
2.743252e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 0.000000e+00
2.468997e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 0.000000e+00
2.222160e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 0.000000e+00
2.000000e+00 	 3.076799e-02 	 1.215842e-02 	  0.000000e+00 	 0.000000e+00
 
FIC-2101~FIC-2004  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 5.740790e-01 	 5.318994e-01 	  4.897198e-01 	 2.605612e+00
9.000254e+02 	 5.755395e-01 	 5.333599e-01 	  4.911804e-01 	 2.604284e+00
8.100456e+02 	 5.773330e-01 	 5.351534e-01 	  4.929738e-01 	 2.604743e+00
7.290616e+02 	 5.795325e-01 	 5.373529e-01 	  4.951733e-01 	 2.607409e+00
6.561739e+02 	 5.822259e-01 	 5.400464e-01 	  4.978668e-01 	 2.612729e+00
5.905732e+02 	 5.855180e-01 	 5.433385e-01 	  5.011589e-01 	 2.621174e+00
5.315308e+02 	 5.895326e-01 	 5.473530e-01 	  5.051734e-01 	 2.633258e+00
4.783912e+02 	 5.944142e-01 	 5.522346e-01 	  5.100550e-01 	 2.649541e+00
4.305642e+02 	 6.003294e-01 	 5.581498e-01 	  5.159703e-01 	 2.670633e+00
3.875187e+02 	 6.074665e-01 	 5.652869e-01 	  5.231073e-01 	 2.697195e+00
3.487767e+02 	 6.160323e-01 	 5.738527e-01 	  5.316731e-01 	 2.729915e+00
3.139079e+02 	 6.262458e-01 	 5.840662e-01 	  5.418866e-01 	 2.769467e+00
2.825250e+02 	 6.383257e-01 	 5.961461e-01 	  5.539665e-01 	 2.816435e+00
2.542797e+02 	 6.524693e-01 	 6.102898e-01 	  5.681102e-01 	 2.871195e+00
2.288582e+02 	 6.688201e-01 	 6.266405e-01 	  5.844609e-01 	 2.933736e+00
2.059782e+02 	 6.874183e-01 	 6.452387e-01 	  6.030591e-01 	 3.003405e+00
1.853856e+02 	 7.081315e-01 	 6.659519e-01 	  6.237723e-01 	 3.078570e+00
1.668517e+02 	 7.305597e-01 	 6.883802e-01 	  6.462006e-01 	 3.156187e+00
1.501708e+02 	 7.543306e-01 	 7.117338e-01 	  6.691370e-01 	 3.231298e+00
1.351575e+02 	 7.777892e-01 	 7.346886e-01 	  6.915879e-01 	 3.296522e+00
1.216452e+02 	 7.989433e-01 	 7.552359e-01 	  7.115286e-01 	 3.341680e+00
1.094837e+02 	 8.150033e-01 	 7.705697e-01 	  7.261361e-01 	 3.353798e+00
9.853815e+01 	 8.223842e-01 	 7.770898e-01 	  7.317954e-01 	 3.317897e+00
8.868683e+01 	 8.169460e-01 	 7.706473e-01 	  7.243486e-01 	 3.219018e+00
7.982040e+01 	 7.946338e-01 	 7.471927e-01 	  6.997515e-01 	 3.045886e+00
7.184038e+01 	 7.526387e-01 	 7.039499e-01 	  6.552612e-01 	 2.796081e+00
6.465817e+01 	 6.909954e-01 	 6.410358e-01 	  5.910762e-01 	 2.481419e+00
5.819399e+01 	 6.140340e-01 	 5.629366e-01 	  5.118393e-01 	 2.130579e+00
5.237607e+01 	 5.304196e-01 	 4.785649e-01 	  4.267101e-01 	 1.784797e+00
4.713979e+01 	 4.505678e-01 	 3.986485e-01 	  3.467292e-01 	 1.484903e+00
4.242700e+01 	 3.826751e-01 	 3.316550e-01 	  2.806349e-01 	 1.257135e+00
3.818538e+01 	 3.308638e-01 	 2.817656e-01 	  2.326673e-01 	 1.109835e+00
3.436781e+01 	 2.935735e-01 	 2.471557e-01 	  2.007380e-01 	 1.029730e+00
3.093190e+01 	 2.632086e-01 	 2.197116e-01 	  1.762145e-01 	 9.768550e-01
2.783950e+01 	 2.369578e-01 	 1.960446e-01 	  1.551314e-01 	 9.266769e-01
2.505625e+01 	 2.136640e-01 	 1.745341e-01 	  1.354042e-01 	 8.625978e-01
2.255126e+01 	 1.909632e-01 	 1.525815e-01 	  1.141997e-01 	 7.687996e-01
2.029671e+01 	 1.706784e-01 	 1.321978e-01 	  9.371728e-02 	 6.643848e-01
1.826755e+01 	 1.510176e-01 	 1.125702e-01 	  7.412284e-02 	 5.662309e-01
1.644126e+01 	 1.307601e-01 	 9.402292e-02 	  5.728571e-02 	 4.949533e-01
1.479755e+01 	 1.111518e-01 	 7.779056e-02 	  4.442930e-02 	 4.509424e-01
1.331817e+01 	 9.417900e-02 	 6.348074e-02 	  3.278247e-02 	 3.999123e-01
1.198669e+01 	 8.193414e-02 	 5.093747e-02 	  1.994080e-02 	 3.178037e-01
1.078833e+01 	 7.470768e-02 	 4.011295e-02 	  5.518225e-03 	 2.242391e-01
9.709767e+00 	 6.635627e-02 	 3.094231e-02 	  0.000000e+00 	 1.689721e-01
8.739037e+00 	 5.425219e-02 	 2.370414e-02 	  0.000000e+00 	 1.500642e-01
7.865355e+00 	 4.767122e-02 	 1.757074e-02 	  0.000000e+00 	 1.128894e-01
7.079019e+00 	 4.467161e-02 	 1.303862e-02 	  0.000000e+00 	 7.971282e-02
6.371296e+00 	 3.761507e-02 	 9.550335e-03 	  0.000000e+00 	 6.581037e-02
5.734328e+00 	 3.651860e-02 	 7.418132e-03 	  0.000000e+00 	 4.929822e-02
5.161041e+00 	 3.101260e-02 	 6.306523e-03 	  0.000000e+00 	 4.936542e-02
4.645068e+00 	 3.147566e-02 	 6.207594e-03 	  0.000000e+00 	 4.751033e-02
