AI-2020~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
2.743252e+00 	 4.570217e-02 	 1.290068e-02 	  0.000000e+00 	 1.304718e-01
2.468997e+00 	 4.782791e-02 	 1.354029e-02 	  0.000000e+00 	 1.310051e-01
2.222160e+00 	 4.774646e-02 	 1.298881e-02 	  0.000000e+00 	 1.239700e-01
2.000000e+00 	 4.774646e-02 	 1.298881e-02 	  0.000000e+00 	 0.000000e+00
 
AI-2020~FIC-2002  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 2.526931e-01 	 1.471149e-01 	  4.153678e-02 	 2.850773e-01
9.000254e+02 	 2.529385e-01 	 1.473603e-01 	  4.178216e-02 	 3.049069e-01
8.100456e+02 	 2.532388e-01 	 1.476606e-01 	  4.208247e-02 	 3.253870e-01
7.290616e+02 	 2.536056e-01 	 1.480274e-01 	  4.244927e-02 	 3.462547e-01
6.561739e+02 	 2.540524e-01 	 1.484743e-01 	  4.289612e-02 	 3.672342e-01
5.905732e+02 	 2.545950e-01 	 1.490169e-01 	  4.343872e-02 	 3.880566e-01
5.315308e+02 	 2.552512e-01 	 1.496731e-01 	  4.409492e-02 	 4.084830e-01
4.783912e+02 	 2.560408e-01 	 1.504626e-01 	  4.488446e-02 	 4.283232e-01
4.305642e+02 	 2.569846e-01 	 1.514064e-01 	  4.582827e-02 	 4.474498e-01
3.875187e+02 	 2.581035e-01 	 1.525253e-01 	  4.694719e-02 	 4.658017e-01
3.487767e+02 	 2.594159e-01 	 1.538377e-01 	  4.825954e-02 	 4.833775e-01
3.139079e+02 	 2.583864e-01 	 1.553555e-01 	  5.232460e-02 	 5.002152e-01
2.825250e+02 	 2.579948e-01 	 1.570785e-01 	  5.616206e-02 	 5.163600e-01
2.542797e+02 	 2.581572e-01 	 1.589850e-01 	  5.981273e-02 	 5.318188e-01
2.288582e+02 	 2.587626e-01 	 1.610195e-01 	  6.327646e-02 	 5.465001e-01
2.059782e+02 	 2.596568e-01 	 1.630760e-01 	  6.649531e-02 	 5.601410e-01
1.853856e+02 	 2.606205e-01 	 1.649769e-01 	  6.933331e-02 	 5.722225e-01
1.668517e+02 	 2.613485e-01 	 1.664522e-01 	  7.155576e-02 	 5.818853e-01
1.501708e+02 	 2.614348e-01 	 1.671257e-01 	  7.281660e-02 	 5.878781e-01
1.351575e+02 	 2.603865e-01 	 1.665301e-01 	  7.267374e-02 	 5.886088e-01
1.216452e+02 	 2.577060e-01 	 1.641898e-01 	  7.067374e-02 	 5.824486e-01
1.094837e+02 	 2.531209e-01 	 1.598525e-01 	  6.658402e-02 	 5.685678e-01
9.853815e+01 	 2.470817e-01 	 1.539878e-01 	  6.089386e-02 	 5.487350e-01
8.868683e+01 	 2.415975e-01 	 1.486262e-01 	  5.565490e-02 	 5.303275e-01
7.982040e+01 	 2.409129e-01 	 1.480382e-01 	  5.516348e-02 	 5.287787e-01
7.184038e+01 	 2.500139e-01 	 1.572441e-01 	  6.447435e-02 	 5.622968e-01
6.465817e+01 	 2.695690e-01 	 1.769604e-01 	  8.435180e-02 	 6.339025e-01
5.819399e+01 	 2.922715e-01 	 1.999476e-01 	  1.076236e-01 	 7.184549e-01
5.237607e+01 	 3.053837e-01 	 2.135604e-01 	  1.217372e-01 	 7.715530e-01
4.713979e+01 	 2.975166e-01 	 2.065314e-01 	  1.155462e-01 	 7.530313e-01
4.242700e+01 	 2.691541e-01 	 1.794916e-01 	  8.982911e-02 	 6.640963e-01
3.818538e+01 	 2.424495e-01 	 1.547521e-01 	  6.705464e-02 	 5.853927e-01
